Date,Daimler DAX30,Deutsche Borse DAX30,Deutsche Bank DAX30,Deutsche Post DAX30,Deutsche Telekom DAX30,EON DAX30,Fresenius DAX30,Heidelberg Cement DAX30,Henkel DAX30,Infineon DAX30,Lufthansa DAX30,Linde DAX30,Lanxess DAX30,Merck DAX30,Munchener Ruck DAX30,RWE DAX30,SAP DAX30,KS DAX30,Siemens DAX30,Thyssen Krupp DAX30,Volkswagen Group DAX30,Adidas DAX30,Beiersdorf DAX30,Continental DAX30,Commerzbank DAX30,Allianz DAX30,BASF DAX30,Bayer DAX30,BMW DAX30,Coca Cola NASDAQ,McDonalds NASDAQ,3m NASDAQ,Nike NASDAQ,Pfizer NASDAQ,The Travelers Companies NASDAQ,United Technologies Corporation NASDAQ,Visa NASDAQ,Verizon Communications NASDAQ,WalMart NASDAQ,Chevron NASDAQ,Home Depot NASDAQ,IBM NASDAQ,Intel NASDAQ,Microsoft NASDAQ,Procter Gamble NASDAQ,Cisco NASDAQ,American Express NASDAQ,Boeing NASDAQ,Caterpillar NASDAQ,Walt Disney NASDAQ,General Electric NASDAQ,Goldman Sachs NASDAQ,JP Morgan Chase NASDAQ
2011-01-09,54.530000000000001,53.299999999999997,41.009999999999998,13.025,9.8569999999999993,22.655000000000001,62.0,45.454999999999998,45.979999999999997,7.0339999999999998,17.254999999999999,109.7,55.649999999999999,61.030000000000001,113.34999999999999,50.960000000000001,38.075000000000003,56.310000000000002,89.719999999999999,30.370000000000001,127.84999999999999,47.590000000000003,42.5,58.009999999999998,3.2934100000000002,90.650000000000006,57.380000000000003,55.710000000000001,59.399999999999999,31.460000000000001,74.370000000000005,86.230000000000004,20.879999999999999,18.34,53.329999999999998,79.079999999999998,18.239999999999998,35.93,54.079999999999998,91.190002000000007,34.380001,147.929993,20.66,28.600000000000001,64.5,20.969999999999999,44.359999999999999,69.379999999999995,93.730000000000004,39.450000000000003,18.43,170.69,43.640000000000001
2011-01-16,55.950000000000003,56.890000000000001,43.259999999999998,13.35,9.6329999999999991,23.84,60.609999999999999,47.594999999999999,47.305,7.3399999999999999,16.969999999999999,107.90000000000001,55.119999999999997,59.979999999999997,112.25,53.270000000000003,40.18,55.5,91.069999999999993,30.699999999999999,125.75,46.969999999999999,40.899999999999999,60.0,3.2675999999999998,93.700000000000003,57.600000000000001,55.159999999999997,58.759999999999998,31.559999999999999,74.060000000000002,88.099999999999994,21.02,18.34,54.630000000000003,79.079999999999998,17.780000000000001,35.460000000000001,54.810000000000002,92.830001999999993,35.889999000000003,150.0,21.079999999999998,28.299999,65.529999000000004,21.210000000000001,46.25,70.069999999999993,94.010000000000005,39.289999999999999,18.82,175.0,44.909999999999997
2011-01-23,54.780000000000001,57.299999999999997,44.274999999999999,13.565,9.9399999999999995,25.07,59.899999999999999,47.640000000000001,44.700000000000003,7.2699999999999996,15.81,105.3,53.380000000000003,60.409999999999997,115.45,55.259999999999998,40.130000000000003,52.549999999999997,92.349999999999994,29.949999999999999,114.0,44.840000000000003,40.189999999999998,58.229999999999997,3.3937200000000001,97.909999999999997,56.299999999999997,54.210000000000001,55.649999999999999,31.379999999999999,75.010000000000005,89.290000000000006,20.579999999999998,18.359999999999999,55.0,80.200000000000003,17.539999999999999,34.950000000000003,55.729999999999997,93.779999000000004,36.509998000000003,155.5,20.82,28.02,65.910004000000001,20.719999999999999,46.0,71.680000000000007,92.75,39.740000000000002,19.739999999999998,166.19999999999999,45.289999999999999
2011-01-30,54.799999999999997,56.840000000000003,43.630000000000003,13.375,9.7289999999999992,24.449999999999999,63.5,48.130000000000003,44.57,7.7350000000000003,15.59,105.34999999999999,53.590000000000003,61.939999999999998,114.5,52.640000000000001,42.149999999999999,53.479999999999997,93.790000000000006,29.475000000000001,120.40000000000001,45.82,40.079999999999998,58.340000000000003,3.2664200000000001,100.77,56.859999999999999,53.770000000000003,57.359999999999999,31.100000000000001,73.280000000000001,87.439999999999998,20.359999999999999,18.149999999999999,55.810000000000002,81.430000000000007,17.359999999999999,35.630000000000003,56.700000000000003,93.370002999999997,36.700001,159.21000699999999,21.459999,27.75,64.199996999999996,20.93,43.859999999999999,69.230000000000004,95.680000000000007,38.850000000000001,20.199999999999999,161.77000000000001,44.539999999999999
2011-02-06,52.689999999999998,56.859999999999999,46.234999999999999,13.404999999999999,10.065,24.52,62.899999999999999,47.984999999999999,44.859999999999999,8.0299999999999994,15.295,109.34999999999999,54.869999999999997,63.82,120.2,53.43,43.210000000000001,57.539999999999999,93.239999999999995,30.684999999999999,115.34999999999999,46.049999999999997,41.979999999999997,58.770000000000003,3.38375,105.59999999999999,58.899999999999999,54.530000000000001,56.640000000000001,31.280000000000001,74.049999999999997,88.290000000000006,21.440000000000001,19.300000000000001,57.409999999999997,82.519999999999996,18.219999999999999,36.310000000000002,56.030000000000001,97.110000999999997,36.799999,164.0,21.68,27.77,63.610000999999997,22.050000000000001,43.82,71.379999999999995,99.590000000000003,40.710000000000001,20.559999999999999,164.83000000000001,44.590000000000003
2011-02-13,56.509999999999998,61.619999999999997,46.170000000000002,13.6,9.9000000000000004,24.780000000000001,62.450000000000003,49.549999999999997,44.465000000000003,8.1999999999999993,15.630000000000001,109.59999999999999,56.789999999999999,63.100000000000001,122.05,53.469999999999999,44.365000000000002,57.840000000000003,94.680000000000007,30.289999999999999,128.19999999999999,48.520000000000003,41.32,64.269999999999996,3.38375,105.09999999999999,57.939999999999998,55.579999999999998,63.200000000000003,31.780000000000001,76.140000000000001,91.799999999999997,21.550000000000001,18.829999999999998,58.990000000000002,85.200000000000003,18.73,36.390000000000001,55.689999999999998,96.449996999999996,37.479999999999997,163.85000600000001,21.760000000000002,27.25,64.730002999999996,18.699999999999999,46.75,72.140000000000001,103.54000000000001,43.409999999999997,21.329999999999998,166.66,46.57
2011-02-20,52.630000000000003,57.520000000000003,47.93,13.824999999999999,10.01,24.760000000000002,62.43,52.600000000000001,45.299999999999997,8.0009999999999994,15.699999999999999,112.09999999999999,56.649999999999999,62.700000000000003,124.8,52.560000000000002,44.240000000000002,57.43,98.0,30.27,119.65000000000001,47.899999999999999,43.450000000000003,62.859999999999999,3.5849700000000002,108.43000000000001,61.350000000000001,57.0,60.229999999999997,32.280000000000001,76.129999999999995,92.959999999999994,22.199999999999999,19.190000000000001,60.920000000000002,85.010000000000005,18.960000000000001,36.619999999999997,55.380000000000003,98.720000999999996,38.479999999999997,164.83999600000001,22.139999,27.059999000000001,64.300003000000004,18.850000000000001,45.530000000000001,73.040000000000006,105.86,43.560000000000002,21.440000000000001,168.03999999999999,48.0
2011-02-27,51.07,55.850000000000001,46.585000000000001,13.23,9.7409999999999997,23.684999999999999,65.739999999999995,50.759999999999998,43.524999999999999,7.7770000000000001,14.73,108.5,53.030000000000001,65.079999999999998,120.45,49.219999999999999,43.329999999999998,55.479999999999997,94.159999999999997,29.539999999999999,119.40000000000001,46.439999999999998,43.350000000000001,59.649999999999999,3.6189900000000002,102.5,59.200000000000003,54.899999999999999,59.0,32.159999999999997,74.439999999999998,90.25,22.0,18.859999999999999,59.600000000000001,83.370000000000005,18.670000000000002,35.969999999999999,51.75,102.099998,37.080002,162.279999,21.860001,26.549999,62.840000000000003,18.640000000000001,43.530000000000001,72.299999999999997,102.0,42.950000000000003,20.82,165.12,46.68
2011-03-06,48.234999999999999,55.75,44.884999999999998,12.81,9.7089999999999996,23.195,66.950000000000003,49.945,45.759999999999998,7.6900000000000004,14.5,112.45,54.310000000000002,65.790000000000006,119.2,47.810000000000002,44.049999999999997,56.539999999999999,95.400000000000006,29.800000000000001,117.09999999999999,46.68,42.810000000000002,60.100000000000001,3.6835300000000002,104.40000000000001,60.600000000000001,57.0,57.850000000000001,32.600000000000001,76.030000000000001,92.189999999999998,22.469999999999999,19.66,59.18,82.859999999999999,18.670000000000002,36.079999999999998,52.07,103.75,37.220001000000003,161.83000200000001,21.559999000000001,25.950001,62.029998999999997,18.399999999999999,43.719999999999999,71.799999999999997,103.04000000000001,43.549999999999997,20.370000000000001,161.0,45.520000000000003
2011-03-13,47.789999999999999,54.079999999999998,42.729999999999997,12.945,10.16,23.079999999999998,65.230000000000004,47.0,44.365000000000002,7.3250000000000002,14.914999999999999,109.90000000000001,51.93,66.469999999999999,111.75,47.924999999999997,42.325000000000003,51.670000000000002,91.260000000000005,28.039999999999999,114.3,46.079999999999998,43.32,61.159999999999997,3.4295100000000001,100.0,58.649999999999999,55.100000000000001,56.299999999999997,32.399999999999999,76.730000000000004,91.609999999999999,21.789999999999999,19.469999999999999,58.880000000000003,81.280000000000001,18.129999999999999,35.850000000000001,52.590000000000003,99.930000000000007,37.139999000000003,162.429993,20.870000999999998,25.68,61.490001999999997,17.949999999999999,44.280000000000001,71.640000000000001,100.02,42.93,20.359999999999999,160.68000000000001,45.740000000000002
